user_id,timestamp,channel,conversion_status,conversion_value,cost
USER001,2024-01-15T10:30:00Z,paid_search,0,0,50
USER001,2024-01-16T14:20:00Z,social_media,0,0,30
USER001,2024-01-18T09:15:00Z,email,1,1000,10
USER002,2024-01-12T11:45:00Z,paid_search,0,0,45
USER002,2024-01-14T16:30:00Z,social_media,1,800,35
USER002,2024-01-16T10:20:00Z,email,0,0,15
USER002,2024-01-18T13:25:00Z,social_media,0,0,25
USER003,2024-01-10T08:00:00Z,organic_search,0,0,0
USER003,2024-01-12T14:30:00Z,content_marketing,0,0,20
USER003,2024-01-14T11:15:00Z,content_marketing,0,0,15
USER003,2024-01-16T09:45:00Z,paid_search,1,2000,55
USER004,2024-01-08T20:15:00Z,social_media,0,0,25
USER004,2024-01-10T12:30:00Z,email,0,0,8
USER004,2024-01-12T18:45:00Z,social_media,0,0,30
USER004,2024-01-14T15:30:00Z,paid_search,0,0,40
USER004,2024-01-18T11:00:00Z,email,1,500,12
USER005,2024-01-15T13:45:00Z,content_marketing,0,0,18
USER005,2024-01-17T16:20:00Z,social_media,0,0,28
USER005,2024-01-19T10:10:00Z,paid_search,0,0,35
USER005,2024-01-21T14:30:00Z,email,0,0,10
USER005,2024-01-23T11:45:00Z,content_marketing,1,1200,22
USER006,2024-01-06T09:00:00Z,paid_search,0,0,60
USER006,2024-01-08T13:15:00Z,organic_search,0,0,0
USER006,2024-01-10T16:45:00Z,email,1,600,25
USER007,2024-01-11T11:30:00Z,social_media,0,0,20
USER007,2024-01-13T14:20:00Z,content_marketing,0,0,15
USER007,2024-01-15T10:45:00Z,email,0,0,12
USER007,2024-01-17T09:30:00Z,social_media,1,900,28
USER007,2024-01-19T15:00:00Z,email,0,0,8
USER007,2024-01-21T12:15:00Z,content_marketing,0,0,18
USER008,2024-01-09T15:20:00Z,paid_search,0,0,40
USER008,2024-01-11T17:45:00Z,social_media,0,0,30
USER008,2024-01-13T10:30:00Z,email,0,0,15
USER008,2024-01-15T13:20:00Z,content_marketing,0,0,20
USER008,2024-01-17T15:10:00Z,social_media,1,750,32
USER009,2024-01-07T12:00:00Z,organic_search,0,0,0
USER009,2024-01-09T16:30:00Z,paid_search,0,0,50
USER009,2024-01-11T14:15:00Z,email,0,0,18
USER009,2024-01-13T18:45:00Z,content_marketing,0,0,25
USER009,2024-01-15T09:00:00Z,paid_search,1,3000,65
USER010,2024-01-14T08:30:00Z,social_media,0,0,35
USER010,2024-01-16T12:00:00Z,email,1,400,20
USER010,2024-01-18T15:45:00Z,social_media,0,0,28
USER010,2024-01-20T11:15:00Z,content_marketing,0,0,22
USER011,2024-01-05T10:00:00Z,email,0,0,12
USER011,2024-01-07T14:30:00Z,content_marketing,0,0,25
USER011,2024-01-09T11:45:00Z,paid_search,0,0,55
USER011,2024-01-11T16:00:00Z,social_media,0,0,30
USER011,2024-01-13T13:15:00Z,email,0,0,10
USER011,2024-01-15T10:30:00Z,paid_search,0,0,45
USER011,2024-01-17T12:45:00Z,content_marketing,1,1100,35
USER012,2024-01-08T17:00:00Z,affiliate,0,0,40
USER012,2024-01-10T10:30:00Z,paid_search,0,0,50
USER012,2024-01-12T14:45:00Z,social_media,0,0,30
USER012,2024-01-14T11:00:00Z,email,1,800,18
USER013,2024-01-03T09:15:00Z,display,0,0,25
USER013,2024-01-05T13:30:00Z,social_media,0,0,20
USER013,2024-01-07T16:45:00Z,paid_search,0,0,45
USER013,2024-01-09T11:15:00Z,email,1,2200,28
USER014,2024-01-16T19:00:00Z,social_media,0,0,30
USER014,2024-01-18T12:30:00Z,email,0,0,16
USER014,2024-01-20T14:45:00Z,content_marketing,0,0,22
USER014,2024-01-22T11:00:00Z,social_media,1,1600,25
USER015,2024-01-12T13:20:00Z,email,0,0,14
USER015,2024-01-14T17:45:00Z,paid_search,1,2200,48
USER015,2024-01-16T10:10:00Z,content_marketing,0,0,18
USER015,2024-01-18T14:20:00Z,email,0,0,12
USER016,2024-01-04T10:45:00Z,paid_search,0,0,35
USER016,2024-01-06T15:30:00Z,social_media,0,0,25
USER016,2024-01-08T11:00:00Z,email,0,0,15
USER016,2024-01-10T16:15:00Z,content_marketing,0,0,20
USER016,2024-01-12T14:00:00Z,paid_search,1,2800,52
USER017,2024-01-01T08:00:00Z,organic_search,0,0,0
USER017,2024-01-03T12:30:00Z,content_marketing,0,0,15
USER017,2024-01-05T15:45:00Z,social_media,0,0,20
USER017,2024-01-07T10:15:00Z,paid_search,0,0,40
USER017,2024-01-09T13:30:00Z,email,0,0,12
USER017,2024-01-11T16:00:00Z,social_media,1,1400,38
USER018,2024-01-14T15:30:00Z,email,0,0,16
USER018,2024-01-16T18:45:00Z,social_media,0,0,28
USER018,2024-01-18T20:15:00Z,content_marketing,0,0,24
USER018,2024-01-20T11:30:00Z,paid_search,1,1800,42
USER018,2024-01-22T13:45:00Z,email,0,0,14
USER018,2024-01-24T12:00:00Z,social_media,0,0,22
USER019,2024-01-09T17:45:00Z,affiliate,0,0,35
USER019,2024-01-11T10:30:00Z,paid_search,0,0,45
USER019,2024-01-13T14:15:00Z,email,0,0,20
USER019,2024-01-15T19:00:00Z,social_media,0,0,25
USER019,2024-01-17T11:30:00Z,content_marketing,1,1300,33
USER020,2024-01-06T18:30:00Z,email,0,0,12
USER020,2024-01-08T14:45:00Z,social_media,0,0,22
USER020,2024-01-10T12:00:00Z,content_marketing,0,0,18
USER020,2024-01-12T15:30:00Z,paid_search,0,0,38
USER020,2024-01-14T17:45:00Z,email,0,0,10
USER020,2024-01-16T19:30:00Z,social_media,1,2100,36
